feature,importance
Promo,0.23525515357548468
CompetitionDistance_Log,0.08253538031306332
CompetitionDistance_Sqrt,0.07191586036721469
CompetitionDistance,0.05475976874308058
CompetitionOpenSinceMonth,0.05150989497407031
CompetitionOpenSinceYear,0.049023877148192396
DayOfWeek_cos,0.039944853808538565
StoreType_b,0.03742526609275041
CompetitionAge_Months,0.0352021807853853
WeekOfYear_cos,0.02997212010612689
Assortment_c,0.028281231000650622
DayOfWeek_sin,0.025071999092394465
DayOfYear,0.018895633508113397
Promo2SinceYear,0.018358059676575167
StoreType_Assortment_encoded,0.018198846514250286
Promo2SinceWeek,0.01819390458950844
Assortment_a,0.016891468287514602
Promo2,0.01212419328391578
PromoInterval_nan,0.0113841877392549
DayOfWeek,0.011368676903032442
Competition_Store,0.01062534159321638
Promo2Age_Weeks,0.010599842212512482
CompetitionProximity_4,0.010353504779248582
Day,0.009540704647601842
DaysSince2013,0.009432144845309317
"PromoInterval_Mar,Jun,Sept,Dec",0.00903997130540003
Month_cos,0.008812381622233419
StoreType_c,0.008355411860963646
DayOfYear_sin,0.007427871287471483
DayOfYear_cos,0.005301821305788427
HasCompetitionInfo,0.005017956455054365
WeekOfYear,0.004995134929739367
WeekOfYear_sin,0.0037835423978316535
IsWeekend,0.0034567163796944706
StoreType_a,0.003250026794136371
CompetitionProximity_3,0.0032449472139657936
CompetitionProximity_2,0.002890812705465835
"PromoInterval_Jan,Apr,Jul,Oct",0.002540668895839831
IsMonthEnd,0.0021118801818719507
CompetitionProximity_0,0.0016922712863637172
StoreType_d,0.0016684643759510068
"PromoInterval_Feb,May,Aug,Nov",0.001612933879382011
Month,0.0015200111516720143
CompetitionProximity_1,0.0012918462244649641
Year,0.0009804347086371868
Quarter,0.0005733221889758791
IsQuarterEnd,0.0005452654998424048
HolidayIntensity,0.0003574955314857659
InPromoInterval,0.0003456898861349821
Month_sin,0.00031379851479613997
SchoolHoliday,0.0002738884584110646
Season_Winter,0.0002441403214096253
StateHoliday_Binary,0.00022074645280273063
AnyHoliday,0.000193994597410405
PromoIntensity,0.00019001252790755384
IsDecember,0.00016107943340201524
Season_Spring,0.00014261065021652173
HasPromo2Info,0.00013901640149070182
Season_Summer,0.00012131488552074791
AnyPromo,9.60623685155193e-05
Promo_Holiday,9.595444099769422e-05
IsJanuary,8.354888387079069e-05
IsQuarterStart,2.67927176010415e-05
IsMonthStart,1.6066690275033152e-05
Open,0.0
Promo_Weekend,0.0
StateHoliday_a,0.0
StateHoliday_b,0.0
Assortment_b,0.0
StateHoliday_0,0.0
