feature,importance
Promo,0.17805243877324148
CompetitionDistance,0.0833712361166865
CompetitionDistance_Sqrt,0.08031227554662396
CompetitionDistance_Log,0.07545954893662206
CompetitionOpenSinceYear,0.050605871659790885
CompetitionOpenSinceMonth,0.04951637881021392
StoreType_b,0.04003238031333104
Promo2SinceYear,0.03982980192414198
DayOfWeek,0.03968578579847064
PromoIntensity,0.037037597726550714
DayOfYear,0.03683644211060044
DayOfWeek_cos,0.027011375496822854
Promo2SinceWeek,0.02666989358651428
CompetitionAge_Months,0.025073377543134698
Assortment_a,0.016866137731642007
Assortment_c,0.016135059840776032
StoreType_Assortment_encoded,0.015888545942807784
AnyPromo,0.01574093383568834
WeekOfYear,0.011170256548931756
Promo2Age_Weeks,0.010345649038668928
Competition_Store,0.009616085989945377
Day,0.008765911459776815
DayOfWeek_sin,0.007581695775292836
StoreType_c,0.006928334296360091
DayOfYear_sin,0.00577395209634253
StoreType_a,0.005733793405892106
DayOfYear_cos,0.00560613848170451
"PromoInterval_Mar,Jun,Sept,Dec",0.005111277546512393
WeekOfYear_cos,0.00481829153120842
HasCompetitionInfo,0.004659997965765966
PromoInterval_nan,0.004627665155139616
InPromoInterval,0.0045417505757099725
Month,0.004319955912268818
"PromoInterval_Jan,Apr,Jul,Oct",0.0040024745790099145
IsDecember,0.0038921891940390894
IsWeekend,0.00348893661790312
CompetitionProximity_2,0.0033425325679986508
Promo2,0.0032723074346517464
Month_cos,0.0032513377433912166
HasPromo2Info,0.003237572488893035
"PromoInterval_Feb,May,Aug,Nov",0.0030016194640427067
CompetitionProximity_3,0.0028733870775191493
DaysSince2013,0.0027359281917475674
StoreType_d,0.0026905701355211292
IsMonthEnd,0.0016510740876539004
WeekOfYear_sin,0.001627598913409483
IsQuarterEnd,0.0011127211996287982
CompetitionProximity_4,0.0010801949635546406
CompetitionProximity_1,0.0009880104386319293
Assortment_b,0.000756488096899367
HolidayIntensity,0.0007374864101362232
AnyHoliday,0.0005482551254453215
SchoolHoliday,0.0005452802660436027
Year,0.0003989563384137629
StateHoliday_0,0.0003210749646808691
CompetitionProximity_0,0.00020739229952981822
Month_sin,0.00011118642859052188
Season_Summer,9.607619785281579e-05
StateHoliday_Binary,7.316815246021839e-05
Season_Spring,6.88204586014992e-05
Quarter,5.174964761108684e-05
StateHoliday_a,4.779316143801415e-05
Season_Winter,2.3917700164696696e-05
IsJanuary,1.5304788110386604e-05
Promo_Holiday,1.2370099745832826e-05
IsMonthStart,1.0387293500089088e-05
StateHoliday_b,0.0
Open,0.0
IsQuarterStart,0.0
Promo_Weekend,0.0
