feature,importance
Promo,0.12256928
StoreType_b,0.06885211
InPromoInterval,0.04330481
Assortment_a,0.033469826
HasPromo2Info,0.029223092
CompetitionOpenSinceYear,0.028101444
Promo2SinceYear,0.02767004
CompetitionDistance_Log,0.026709147
CompetitionProximity_2,0.024676552
CompetitionOpenSinceMonth,0.024378143
Promo2,0.023710052
DayOfYear,0.023021255
CompetitionDistance,0.022986518
Assortment_c,0.02165412
StoreType_d,0.021191299
Competition_Store,0.021049565
"PromoInterval_Mar,Jun,Sept,Dec",0.020807339
StoreType_a,0.020276684
CompetitionDistance_Sqrt,0.020274067
Promo2SinceWeek,0.018870011
StoreType_c,0.018800484
CompetitionProximity_3,0.017915912
DayOfWeek_cos,0.017201055
StoreType_Assortment_encoded,0.015937574
"PromoInterval_Jan,Apr,Jul,Oct",0.015669292
DayOfWeek,0.015660612
CompetitionAge_Months,0.014908321
IsDecember,0.014882527
AnyPromo,0.0144995395
Day,0.014465695
Promo_Holiday,0.014257583
"PromoInterval_Feb,May,Aug,Nov",0.0141655905
CompetitionProximity_1,0.013756125
WeekOfYear,0.012465053
WeekOfYear_sin,0.012019488
WeekOfYear_cos,0.010443656
IsMonthEnd,0.01033375
Promo2Age_Weeks,0.009166574
IsWeekend,0.0088625625
HasCompetitionInfo,0.007622067
Assortment_b,0.0076018088
Season_Spring,0.007531038
Month_cos,0.006817272
DayOfWeek_sin,0.00658273
DayOfYear_cos,0.006360871
DayOfYear_sin,0.006198718
StateHoliday_Binary,0.006000098
AnyHoliday,0.0057906257
Quarter,0.0037640966
StateHoliday_b,0.003718605
Season_Summer,0.0035144507
DaysSince2013,0.0031775665
StateHoliday_0,0.002847572
SchoolHoliday,0.002327057
Year,0.0021894902
PromoIntensity,0.0018571742
Month_sin,0.0015373728
IsJanuary,0.0014345751
HolidayIntensity,0.0014073021
Month,0.0011379767
IsQuarterStart,0.001117494
StateHoliday_a,0.0006597937
IsQuarterEnd,0.00048314178
Season_Winter,8.561503e-05
IsMonthStart,2.87294e-05
PromoInterval_nan,0.0
Promo_Weekend,0.0
Open,0.0
CompetitionProximity_4,0.0
CompetitionProximity_0,0.0
