feature,importance
Promo,0.1428596390209501
CompetitionDistance_Log,0.09983240531475554
CompetitionDistance_Sqrt,0.09439085677991493
CompetitionDistance,0.09438662406133318
CompetitionOpenSinceMonth,0.08308401353289417
CompetitionOpenSinceYear,0.060451498981708866
DayOfWeek,0.04773115780980061
CompetitionAge_Months,0.045768809830410095
DayOfYear,0.03663537687831513
Promo2SinceYear,0.03252738947396107
StoreType_b,0.026875783081869234
Promo2SinceWeek,0.026312052467458002
Day,0.01902257175022751
StoreType_Assortment_encoded,0.01567012468190176
Assortment_c,0.015669491234491875
Promo2Age_Weeks,0.014623799027651282
DaysSince2013,0.01173406173585603
Assortment_a,0.01095369432088273
Competition_Store,0.009616885682156618
StoreType_c,0.008740292299803852
StoreType_a,0.007616771711709177
"PromoInterval_Feb,May,Aug,Nov",0.007524139052047747
DayOfWeek_sin,0.00688092583847601
IsWeekend,0.006796061191468567
"PromoInterval_Jan,Apr,Jul,Oct",0.006703136312358799
DayOfYear_sin,0.006441019564751307
WeekOfYear_cos,0.006238802647895265
DayOfYear_cos,0.006211658918731383
WeekOfYear,0.006065027051856398
StoreType_d,0.004369270167205032
"PromoInterval_Mar,Jun,Sept,Dec",0.004060901617587823
CompetitionProximity_3,0.0038817424802920705
DayOfWeek_cos,0.0037873440981649404
HasCompetitionInfo,0.0026154084094454993
PromoInterval_nan,0.0024718414424149903
CompetitionProximity_1,0.002300396376387198
CompetitionProximity_2,0.0022853896206836643
WeekOfYear_sin,0.0017844275271954632
IsMonthEnd,0.0017087786880354086
CompetitionProximity_0,0.0015833011892253154
IsQuarterEnd,0.0011493603246875254
AnyHoliday,0.0011009760025670176
SchoolHoliday,0.0009201577961367929
Month_cos,0.000919274845951806
Assortment_b,0.0008875338337410321
StateHoliday_0,0.0008112702153599166
Month_sin,0.0006987532977220316
HasPromo2Info,0.0006770920451282826
HolidayIntensity,0.0006125967111401479
Promo2,0.0005778417788461464
Season_Summer,0.0004977593879402349
InPromoInterval,0.0004095911861455677
Month,0.00039876856763146297
Year,0.00035242992004872614
CompetitionProximity_4,0.00031167621122180116
PromoIntensity,0.00030875048182014937
Season_Spring,0.0002731730227680944
StateHoliday_Binary,0.00023031865746872622
Promo_Holiday,0.00021305590166527242
Quarter,0.00016086327919912275
Season_Winter,0.00012219921244058306
AnyPromo,7.432876617147599e-05
IsJanuary,3.57265011565517e-05
StateHoliday_a,3.072832004277103e-05
IsMonthStart,9.894800498534416e-06
IsDecember,2.6345362626771694e-06
IsQuarterStart,3.7252396318484454e-07
Open,0.0
Promo_Weekend,0.0
StateHoliday_b,0.0
