feature,importance
CompetitionDistance_Sqrt,0.08936992508990922
CompetitionDistance,0.08828109782732219
CompetitionDistance_Log,0.08663926768599635
Promo,0.07381494055135858
CompetitionOpenSinceMonth,0.051253221365941244
CompetitionOpenSinceYear,0.04783465227432424
PromoIntensity,0.04021907677496287
CompetitionAge_Months,0.03783038708559532
DayOfWeek,0.029000052249982783
AnyPromo,0.027293018865333068
Promo2SinceWeek,0.025783557355018763
StoreType_Assortment_encoded,0.02468587669820014
Promo2SinceYear,0.023803728765631478
StoreType_b,0.018479734946104626
DayOfYear,0.01828852993177456
DayOfWeek_cos,0.017761404233470463
Day,0.016979318936530298
DayOfWeek_sin,0.016210312999148303
WeekOfYear,0.016070652171505037
Competition_Store,0.015546963235842981
Assortment_a,0.013795525159180914
Promo2Age_Weeks,0.013785006522370018
Assortment_c,0.012748129752081871
DayOfYear_cos,0.010983445836741079
DayOfYear_sin,0.010838996176670753
StoreType_a,0.009321857705458913
DaysSince2013,0.009273587091718653
Month,0.008442043151133637
HasCompetitionInfo,0.007800005114125866
IsWeekend,0.007662038697366491
Month_cos,0.007127697113089439
Promo_Holiday,0.006744117803856425
WeekOfYear_cos,0.006740716383897025
CompetitionProximity_4,0.006732164986966344
StoreType_c,0.006476022004430062
InPromoInterval,0.0063745191991129106
IsDecember,0.006140314028765753
PromoInterval_nan,0.006020399324187935
CompetitionProximity_2,0.005981996304231517
CompetitionProximity_3,0.00583828617088724
StoreType_d,0.00573426668693246
HasPromo2Info,0.005733559953788126
Promo2,0.0054956217925737
WeekOfYear_sin,0.005377580975123076
"PromoInterval_Jan,Apr,Jul,Oct",0.005139072483177053
"PromoInterval_Mar,Jun,Sept,Dec",0.0048899492044415975
IsMonthEnd,0.003743427275988194
CompetitionProximity_1,0.003548876957699903
"PromoInterval_Feb,May,Aug,Nov",0.0034632778126509082
CompetitionProximity_0,0.0031450118159667877
Year,0.0026245800694362498
HolidayIntensity,0.0023194964803663156
Assortment_b,0.0021488056980262953
Month_sin,0.002002720847611454
SchoolHoliday,0.0018452416260212822
AnyHoliday,0.0018378126040050854
IsQuarterEnd,0.0016467979521853518
Quarter,0.001461501808923819
StateHoliday_Binary,0.0006779015784542507
Season_Spring,0.0006265269669462769
Season_Winter,0.00046169359725458373
Season_Summer,0.00046070960005610903
IsJanuary,0.00040817340069541246
IsMonthStart,0.00040604784876921597
StateHoliday_0,0.0003979553742145532
StateHoliday_a,0.00022041568941396202
IsQuarterStart,0.00015302990526544456
StateHoliday_b,5.735642378711411e-05
Open,0.0
Promo_Weekend,0.0
