feature,importance
Promo,0.13453682
StoreType_b,0.06188273
InPromoInterval,0.057589628
HasPromo2Info,0.038422816
Assortment_a,0.036281954
"PromoInterval_Mar,Jun,Sept,Dec",0.0320882
Promo2SinceYear,0.030099757
CompetitionOpenSinceYear,0.029899985
IsDecember,0.028949097
CompetitionProximity_2,0.027001709
CompetitionDistance,0.025207862
Competition_Store,0.023530975
CompetitionOpenSinceMonth,0.02319043
StoreType_a,0.023111578
DayOfYear,0.023004351
Assortment_c,0.02145161
Promo2SinceWeek,0.01901399
CompetitionDistance_Log,0.017433144
IsMonthEnd,0.017215544
Day,0.016697222
StoreType_c,0.01651291
DayOfWeek_cos,0.016452229
DayOfWeek,0.015564058
"PromoInterval_Jan,Apr,Jul,Oct",0.015155889
CompetitionProximity_3,0.015066871
CompetitionDistance_Sqrt,0.014201762
WeekOfYear,0.014017197
Promo2,0.014001564
StoreType_Assortment_encoded,0.012688336
CompetitionProximity_1,0.01260909
"PromoInterval_Feb,May,Aug,Nov",0.012028112
AnyPromo,0.011431853
CompetitionAge_Months,0.011331478
AnyHoliday,0.011115257
Promo2Age_Weeks,0.00954163
Assortment_b,0.007979276
StoreType_d,0.007960639
Promo_Holiday,0.007853721
DayOfWeek_sin,0.0075998544
WeekOfYear_cos,0.007289698
WeekOfYear_sin,0.006957236
Month_cos,0.0063792868
DayOfYear_sin,0.006174684
Season_Summer,0.005235589
Month,0.005018728
Month_sin,0.004820265
IsWeekend,0.0046677436
DayOfYear_cos,0.004397641
DaysSince2013,0.0040277992
Season_Spring,0.003618722
StateHoliday_b,0.003472941
StateHoliday_0,0.0034356562
IsJanuary,0.0033366838
PromoIntensity,0.0030500195
HolidayIntensity,0.001408372
Year,0.0013056537
SchoolHoliday,0.0012871585
StateHoliday_Binary,0.0012776743
StateHoliday_a,0.0011362906
IsQuarterStart,0.0010549899
Season_Winter,0.00048498463
IsQuarterEnd,0.00044106622
Open,0.0
IsMonthStart,0.0
Quarter,0.0
Promo_Weekend,0.0
HasCompetitionInfo,0.0
PromoInterval_nan,0.0
CompetitionProximity_4,0.0
CompetitionProximity_0,0.0
